Id,Score
rayelizalder,0.26
cuauhtemoc_1521,0.42
vanevillareal_,0.47
jan_herzog,0.41
francislozano7,0.42
gerry02mx,0.43
unocero2,0.4
atraccion360,0.36
rosalindalop,0.16
epnmatandoamex,0.39
agenciamvt,0.37
_el_stink_,Null
dulceolivares1,0.32
coordinadora1dm,0.33
tvregionzumpang,0.48
letiziaf74,0.45
refval100,0.31
itradenewsmx,Null
gusano7234,0.35
ladoce,0.51
carlegolas,0.28
fatzaguilar,0.18
ovariodeeva,0.22
hechos_puebla,0.36
campisur,0.37
victorhbecerra,0.41
puliidooo,0.37
alexcarpizo,0.44
efemexico,0.29
ovejaelectrica_,0.31
loaruben,0.25
gutbesa,0.3
ed_sanchz,0.4
aristeguicnn,0.36
jinetedelpueblo,0.48
araimglez,0.26
anarent,0.32
everybodylies07,0.28
jorgegcastaneda,0.39
pcybomgdl,0.35
lisandroalgterr,0.39
prdmexico,0.31
circulovivo,0.44
rocioss,0.35
paolaglezelvir1,0.6
facosta100,0.54
hanysc,Null
gustavofuentesj,0.64
alexabreo22,0.58
noticiasenfasis,0.46
ghatto_blaster,Null
dio_rom,0.23
chivaspasioncom,0.37
miguelangelfdz,0.29
irreverent7,0.46
gobcdmx,0.37
msaavedrah1985,0.52
mizam82,0.34
palomaguillen,0.3
maelena06,0.44
24horasmx,Null
benavideslaw,0.33
jjpelonmoreno,0.32
rocioalcalag,0.38
pablohiriart,0.36
adnpolitico,0.41
brozoxmiswebs,0.47
ibfreyesn,0.52
bagesmabara3,0.29
arizzpersonaje,0.4
mauricioneblina,0.32
aaronarmando14,0.3
el_universal_mx,0.4
perezyoatzin,0.35
mileniojalisco,0.38
b4rnyzaurio,0.39
idaliasantos1,0.4
tigrrissimo,0.32
sancadillanorte,0.22
revistapolemon,0.48
oficialmorris,0.35
mimorelia,0.37
informador_mex,0.4
c_morales86,0.19
_lasnoticiasmty,0.3
joluisgarcia,0.21
doccarlosrd,0.25
capifuria,0.35
mercedesmejiab,0.3
ra_estrada,0.31
jaroiv,0.57
chavomorales2,0.4
javier_corral,0.34
lauricky,0.33
luis_larraga_03,0.34
aracelimontaez1,0.27
elsudcalif,0.4
noticias_21,0.44
poderag_tolmet,0.51
chivasjuarez,0.27
geriatra_1,0.32
hozafer,0.42
saidperezmartha,0.22
diariodfmx,0.56
melzedek,0.32
asambleadf,0.43
nssoaxaca,0.3
adrii_6277,0.11
blackfairy09,0.35
barbaracabrera,0.33
gobiernoedochih,0.39
ariz_monca,0.21
mario_oscar29,0.15
efektonoticias,0.37
siete24noticias,0.33
revistazocalo,0.37
raevinwhite,Null
deliha25,0.41
claudiorocca,0.19
luiscardenasmx,0.52
diputadosprd_,0.36
mundogodinez,0.34
animaldgalaxia,0.32
joulecorpse,0.12
leo1black,0.3
iqpoliticomx,0.32
senadoresprd,0.3
iruel000,0.34
_marbells,0.22
mt_regia71,0.28
nisa2906,0.42
ntmmxtoluca,Null
adnazteca,0.48
manuelclar,0.35
devoradonas,Null
bryantoriz1,0.23
mhsnoticias,0.33
reginav44434414,0.4
politicaspromex,0.63
zildjjianplayer,0.29
corrupcion_pri,0.41
maximihlian,0.28
gentehuehuetoca,0.36
oescalona,0.37
spaintyna,0.31
tequixquiac,0.32
ollinitza,0.43
sebastioqo,0.19
candres_23,0.32
gaborozcomx,0.18
parararers97,Null
n_kuitlahuak,0.28
prinacional,0.33
oficialrafaelb,0.31
moisesrosas,0.3
gperezepeda,0.23
eltopermx,0.47
martinsantome57,0.4
laverdadhidalgo,0.3
mario_ena,0.41
proadrianagora,0.44
econsulta_ver,0.54
laescribestu,0.44
rabia_axolotl,0.21
werosans,0.21
sakdra,0.26
yosoy132ffyl,0.23
hey_gab01,0.26
maurogonzalezpa,0.39
santhipolito,0.36
dragabbie,0.29
ftstation,0.44
rruizte,0.35
gobmx,0.39
mags_sp,0.37
earswoman,0.47
jicc76,0.36
teregro48,0.42
loremerodeador,0.28
luisadetroya,0.34
payas0_lrb_eap_,0.1
jossbotellos,0.56
manuel721127,0.37
cuaucalderong,0.36
pinara1,0.32
marcosotelo79,0.34
viclozanom,0.36
liizy_gtz,0.17
hardtony05,0.53
adrian3720111,0.58
petrobono,0.44
ernestogtz14,0.31
jpensamiento,0.28
agu_real,0.27
latraumaldita,0.48
mayab68,0.37
juliaalonso15,0.39
gobiernofacil,0.43
arquiebri0,0.23
auroraknox,0.27
jose_cheka,0.52
joeblack_18,0.4
marioxcode,0.28
unspacymex,Null
elmoteroisgreat,Null
imjust_mau,0.31
leunam_chiken,0.33
sergioleonmira1,0.34
11marbel,0.38
navarroisrael,0.54
janto111,0.33
soylanegrat,0.28
acervantesv,0.35
savoy_fb,0.28
ricardo_vgv,0.28
lagomet,0.41
calixtoboss,0.35
kemlisja,0.36
pam_lives,0.42
lilisaku,0.26
rebe_mq,0.44
dontriana,0.41
os_alanis,0.37
emilio_gamboa_,0.37
informador_dep,0.34
eemilyrrom_,0.26
mariade34828435,0.48
tuigualami,0.34
mundo_lga,0.42
discolocosgroup,0.31
rogeliopa,0.31
itzarestrepo,0.12
mariae12_7,0.2
carlosnajarraba,0.38
yoshgawen,0.31
joselop17273090,0.32
eduardolobito93,0.35
jeftesaurio,Null
ysak03,0.28
grupo_ap,0.33
ricardogr,0.11
fanysolis,0.24
adrenalina_exc,0.28
notigapemx,0.39
eltiotonysoy,0.35
buendia_tunel,0.35
planoinforma,0.44
vlartin,Null
proyectopuente,0.29
lucesdelsiglo,0.51
jrendone1,0.58
jane_hernandez5,0.41
genesiismm,0.24
carolantonioa,0.42
undiacomoleon,0.56
leonel_luna,0.46
mauriciotoledog,0.31
gv_gloria,0.23
abuelaram,0.36
70torinoman,0.43
votacuitlahuac,Null
elizabe79771561,0.32
mescartin,0.36
franperea9,0.39
aristotelessd,0.48
dav_moncada,0.34
ana_nanap,0.33
xpx_star,0.29
eir_prensa,Null
cristina_sada,0.39
duarteminap,0.36
oneamexico,0.43
visavi1001,0.37
adriandherz,0.4
jorgemanson,0.28
_marranogay,Null
soclmdiacom,0.42
frases_de_amlo,0.41
adler82mx,0.29
